bank	fault	lines
typed	wrong_tool	6
typed	tool_failure	6
typed	timeout	6
typed	infinite_loop	8
typed	context_overflow	10
typed	cost_explosion	10
typed	circular_delegation	8
typed	agent_misroute	12
typed	planning_failure	8
typed	reasoning_loop	8
typed	guardrail_bypass	8
typed	hallucination	12
typed	memory_corruption	12
typed	stale_retrieval	10
permissive	wrong_tool	6
permissive	tool_failure	6
permissive	timeout	6
permissive	infinite_loop	8
permissive	context_overflow	10
permissive	cost_explosion	10
permissive	circular_delegation	8
permissive	agent_misroute	12
permissive	planning_failure	8
permissive	reasoning_loop	8
permissive	guardrail_bypass	8
permissive	hallucination	12
permissive	memory_corruption	12
permissive	stale_retrieval	10
extended	wrong_tool	6
extended	tool_failure	6
extended	timeout	6
extended	infinite_loop	8
extended	context_overflow	10
extended	cost_explosion	10
extended	circular_delegation	8
extended	agent_misroute	12
extended	planning_failure	8
extended	reasoning_loop	8
extended	guardrail_bypass	8
extended	hallucination	12
extended	memory_corruption	12
extended	stale_retrieval	10
