seed	injection_rate	fault_type	fdr
42	0.10	wrong_tool	1.000
123	0.10	wrong_tool	1.000
456	0.10	wrong_tool	1.000
789	0.10	wrong_tool	1.000
1024	0.10	wrong_tool	1.000
42	0.10	hallucination	1.000
123	0.10	hallucination	1.000
456	0.10	hallucination	1.000
789	0.10	hallucination	1.000
1024	0.10	hallucination	1.000
42	0.10	infinite_loop	0.000
123	0.10	infinite_loop	0.500
456	0.10	infinite_loop	1.000
789	0.10	infinite_loop	1.000
1024	0.10	infinite_loop	1.000
42	0.10	context_overflow	0.000
123	0.10	context_overflow	0.000
456	0.10	context_overflow	1.000
789	0.10	context_overflow	1.000
1024	0.10	context_overflow	1.000
42	0.10	cost_explosion	1.000
123	0.10	cost_explosion	1.000
456	0.10	cost_explosion	1.000
789	0.10	cost_explosion	1.000
1024	0.10	cost_explosion	1.000
42	0.10	circular_delegation	0.000
123	0.10	circular_delegation	0.000
456	0.10	circular_delegation	1.000
789	0.10	circular_delegation	1.000
1024	0.10	circular_delegation	1.000
42	0.10	tool_failure	1.000
123	0.10	tool_failure	1.000
456	0.10	tool_failure	1.000
789	0.10	tool_failure	1.000
1024	0.10	tool_failure	1.000
42	0.10	timeout	1.000
123	0.10	timeout	1.000
456	0.10	timeout	1.000
789	0.10	timeout	1.000
1024	0.10	timeout	1.000
42	0.10	stale_retrieval	1.000
123	0.10	stale_retrieval	1.000
456	0.10	stale_retrieval	1.000
789	0.10	stale_retrieval	1.000
1024	0.10	stale_retrieval	1.000
42	0.10	guardrail_bypass	1.000
123	0.10	guardrail_bypass	1.000
456	0.10	guardrail_bypass	1.000
789	0.10	guardrail_bypass	1.000
1024	0.10	guardrail_bypass	1.000
42	0.10	planning_failure	1.000
123	0.10	planning_failure	1.000
456	0.10	planning_failure	1.000
789	0.10	planning_failure	1.000
1024	0.10	planning_failure	1.000
42	0.10	reasoning_loop	1.000
123	0.10	reasoning_loop	1.000
456	0.10	reasoning_loop	1.000
789	0.10	reasoning_loop	1.000
1024	0.10	reasoning_loop	1.000
42	0.10	agent_misroute	1.000
123	0.10	agent_misroute	1.000
456	0.10	agent_misroute	1.000
789	0.10	agent_misroute	1.000
1024	0.10	agent_misroute	1.000
42	0.10	memory_corruption	1.000
123	0.10	memory_corruption	1.000
456	0.10	memory_corruption	1.000
789	0.10	memory_corruption	1.000
1024	0.10	memory_corruption	1.000
42	0.25	wrong_tool	1.000
123	0.25	wrong_tool	1.000
456	0.25	wrong_tool	1.000
789	0.25	wrong_tool	1.000
1024	0.25	wrong_tool	1.000
42	0.25	hallucination	1.000
123	0.25	hallucination	1.000
456	0.25	hallucination	1.000
789	0.25	hallucination	1.000
1024	0.25	hallucination	1.000
42	0.25	infinite_loop	0.000
123	0.25	infinite_loop	0.000
456	0.25	infinite_loop	1.000
789	0.25	infinite_loop	1.000
1024	0.25	infinite_loop	1.000
42	0.25	context_overflow	0.000
123	0.25	context_overflow	0.000
456	0.25	context_overflow	1.000
789	0.25	context_overflow	1.000
1024	0.25	context_overflow	1.000
42	0.25	cost_explosion	1.000
123	0.25	cost_explosion	1.000
456	0.25	cost_explosion	1.000
789	0.25	cost_explosion	1.000
1024	0.25	cost_explosion	1.000
42	0.25	circular_delegation	0.500
123	0.25	circular_delegation	0.500
