param	value	default	inf_retry_sb	cost_sb	ctx_overflow_sb	circ_deleg_sb	total_sb	total_real_llm
max_retries	2		12	0	3	0	15	34
max_retries	3	*	4	0	3	0	7	26
max_retries	4		2	0	3	0	5	8
max_retries	5		0	0	3	0	3	6
max_retries	6		0	0	3	0	3	6
cost_threshold	0.05		4	0	3	0	7	26
cost_threshold	0.075		4	0	3	0	7	26
cost_threshold	0.1	*	4	0	3	0	7	26
cost_threshold	0.125		4	0	3	0	7	26
cost_threshold	0.15		4	0	3	0	7	26
token_growth_factor	1.15		4	0	21	0	25	59
token_growth_factor	1.3	*	4	0	3	0	7	26
token_growth_factor	1.45		4	0	0	0	4	21
token_growth_factor	1.6		4	0	0	0	4	21
token_growth_factor	2.0		4	0	0	0	4	21
